game_date,CH,CS,CU,EP,FA,FC,FF,FS,KC,KN,SC,SI,SL
2021-07-04,1699.0018867924528,,2502.3755274261603,,,2346.245179063361,2257.5311496467566,1358.1132075471698,2532.957264957265,,,2096.5438311688313,2363.4177215189875
2021-07-05,1674.7658402203856,2433.0,2537.474708171206,,,2383.086956521739,2243.464521452145,1292.3150684931506,2538.9117647058824,,,2096.7298969072167,2434.4567375886527
2021-07-06,1710.3606911447084,2486.3333333333335,2461.7445652173915,,,2275.7450199203186,2211.910056657224,1295.0416666666667,2470.1451612903224,,,2088.7293233082705,2390.124098124098
2021-07-07,1722.1582867783984,,2398.628504672897,,1503.3333333333333,2317.882513661202,2211.8649842271293,1068.4375,2560.060606060606,,,2094.319698600646,2384.0502183406115
2021-07-08,1767.4693140794225,2534.0,2420.8578680203045,,,2385.2198581560283,2218.3176064441886,1465.4615384615386,2487.06,,,2106.2938388625594,2365.60263653484
2021-07-09,1759.4774066797643,2222.0,2528.432525951557,,1717.142857142857,2282.8543956043954,2227.3902787705506,1286.65,2527.6129032258063,,,2076.206106870229,2409.8457076566124
2021-07-10,1645.7932862190812,2149.5,2472.6788732394366,,1238.4,2290.0,2218.15569823435,1110.36,2539.769230769231,,,2082.127970749543,2359.8956989247313
2021-07-11,1798.0611764705882,2297.0,2508.009975062344,,,2284.3295880149813,2248.669540229885,1246.7387387387387,2487.716049382716,,,2106.6597633136093,2378.3565505804313
2021-07-16,1711.1044776119404,2236.7,2470.815,,,2295.7827586206895,2228.3694029850744,1377.6436781609195,2506.681818181818,,,2069.0706214689267,2430.665838509317
2021-07-17,1626.3011764705882,2226.0,2424.780082987552,,,2273.9756097560976,2250.378174330817,1357.2876712328766,2478.875,,,2092.968099861304,2397.4423529411765
2021-07-18,1674.095238095238,2515.8571428571427,2501.942922374429,,,2319.189903846154,2254.6073781291175,1090.1764705882354,2534.6222222222223,,,2114.0029498525073,2393.898064516129
2021-07-19,1748.2888283378747,,2466.0763358778627,,2021.3076923076924,2278.6803278688526,2236.856054836253,1184.595744680851,2554.12,,,2111.168888888889,2397.303672316384
2021-07-20,1736.778523489933,,2494.366548042705,,,2363.8885017421603,2258.718660968661,1202.095238095238,2565.242105263158,,,2083.821305841924,2385.7838745800673
2021-07-21,1719.256513026052,,2544.28,,,2302.017985611511,2249.7245901639344,1295.4615384615386,2477.3690476190477,,,2064.763779527559,2403.251677852349
2021-07-22,1654.6351931330473,,2443.319248826291,,,2403.856603773585,2250.5169300225734,1273.9791666666667,2238.4545454545455,,,2108.9703504043127,2399.8361774744026
2021-07-23,1663.0497131931165,2231.0,2486.6021126760565,,,2267.4979591836736,2238.605451936872,1337.8785714285714,2493.2988505747126,,,2102.124845488257,2431.6791845493563
2021-07-24,1732.971677559913,,2494.581818181818,,1796.8703703703704,2416.7049180327867,2243.2539091586,1238.8101265822784,2422.8888888888887,,,2112.4827586206898,2414.182278481013
2021-07-25,1784.5675675675675,2232.5,2442.4497716894975,,,2322.71,2251.521551724138,1121.4,2432.403846153846,,,2141.459842519685,2377.083832335329
2021-07-26,1850.2277580071175,2185.0,2482.6642335766423,,,2307.4491978609626,2235.5406976744184,1288.6734693877552,2527.5810810810813,,,2102.2748267898382,2333.106918238994
2021-07-27,1701.4863731656185,2625.0,2597.360465116279,,,2347.027950310559,2241.1857246904588,1322.0243902439024,2645.1470588235293,,,2063.314868804665,2446.4563106796118
2021-07-28,1657.7841328413283,,2420.7033898305085,,,2294.4867256637167,2235.930018416206,1237.9565217391305,2405.3142857142857,,,2082.057803468208,2334.4234527687295
2021-07-29,1706.844776119403,,2381.5134099616857,,1764.0357142857142,2204.46875,2240.7684478371502,1368.0140845070423,2505.0416666666665,,,2119.340740740741,2419.3348694316437
2021-07-30,1737.190305206463,,2500.746928746929,,,2382.44674556213,2242.1059293804133,1222.2441860465117,2434.968085106383,,,2079.9415347137638,2420.016
