,name_last,name_first,key_mlbam,spin_low_conf,spin_high_conf,spin_difference_conf,%k conf_low,%k conf_high,%k difference_conf,%K mean,spin rate mean
195,brentz,jake,641394,2300.3713,2348.8643,48.49315,0.070649125,0.096633844,0.025984716,0.083641484,2324.618
196,breslow,craig,444520,1938.4906,1959.1931,20.702528,0.08795658,0.11288354,0.024926957,0.10042006,1948.8418
197,brewer,colten,605155,1857.3575,1914.405,57.047466,0.07348908,0.09928864,0.02579957,0.08638886,1885.8813
198,brice,austin,592169,2191.2678,2238.4326,47.164673,0.06551758,0.09008616,0.024568576,0.07780187,2214.8503
199,bridwell,parker,592170,2428.3254,2463.4648,35.13958,0.011844997,0.013296816,0.0014518179,0.012570906,2445.8953
200,brigham,jake,502010,2266.5842,2298.5867,32.002495,0.024862563,0.04066821,0.015805645,0.032765385,2282.5854
201,brigham,jeff,656257,2109.0508,2131.6982,22.647396,0.056981236,0.079642236,0.022661004,0.068311736,2120.3745
202,britton,zack,502154,2268.024,2305.51,37.48601,0.06534666,0.08887017,0.023523508,0.07710841,2286.7668
203,broadway,mike,458678,2000.0533,2050.1143,50.060757,0.01393496,0.015798297,0.0018633376,0.014866629,2025.0837
204,brogdon,connor,641401,1823.6378,1857.3251,33.687252,0.009665431,0.010975573,0.0013101411,0.010320502,1840.4814
205,brooks,aaron,605156,2001.7965,2077.8958,76.09932,0.011627634,0.012948364,0.0013207298,0.0122879995,2039.8462
206,brosseau,mike,670712,2073.5632,2113.5728,40.00941,0.013266743,0.014906744,0.0016400001,0.014086743,2093.568
207,brothers,rex,571521,2160.839,2195.6604,34.821255,0.014730028,0.016381597,0.0016515693,0.015555813,2178.2498
208,brown,brooks,453156,2378.3862,2413.5903,35.20397,0.014185216,0.015910525,0.0017253092,0.015047871,2395.9883
209,broxton,jonathan,455009,2228.6235,2252.7668,24.143175,0.009169849,0.010669064,0.0014992153,0.009919456,2240.6953
210,brubaker,jt,664141,2076.914,2107.2908,30.37687,0.012500174,0.014088333,0.001588159,0.0132942535,2092.1023
211,bubic,kris,663460,2074.2175,2101.396,27.178564,0.06532916,0.08851458,0.023185423,0.07692187,2087.8066
212,buchanan,david,571527,2134.918,2162.3772,27.459406,0.0665459,0.093958765,0.027412858,0.080252334,2148.6475
213,buchanan,jake,594772,2204.0764,2264.3005,60.22401,0.06794222,0.09286211,0.02491989,0.08040216,2234.1885
214,buchholz,clay,453329,1856.5864,1880.4799,23.893393,0.051248834,0.07469299,0.023444152,0.06297091,1868.5331
215,buchter,ryan,488748,,,,,,,0.011111111,1554.0
216,buehler,walker,621111,2073.7957,2123.3726,49.576904,0.010346784,0.011727953,0.0013811691,0.011037369,2098.584
