game_date,CH,CS,CU,EP,FA,FC,FF,FO,FS,FT,KC,KN,SI,SL
2019-08-15,1822.801652892562,,2578.662162162162,,,2378.537037037037,2305.907063197026,,1273.111111111111,2190.9607843137255,2769.548387096774,,2336.3021276595746,2415.407792207792
2019-08-16,1755.5948103792416,,2589.7047353760445,,,2303.2533783783783,2302.6446015424162,,1454.4336283185842,2136.291545189504,2509.0689655172414,,2141.3866666666668,2422.47782546495
2019-08-17,1776.301247771836,2259.0,2446.407035175879,,,2307.231511254019,2240.2445388349515,,1413.3859649122808,2133.606714628297,2580.183673469388,,2123.2608695652175,2390.9270687237026
2019-08-18,1865.231981981982,,2492.368292682927,1494.0,1707.75,2411.9076517150397,2283.318,,1581.1960784313726,2181.1782608695653,2352.5333333333333,,2102.471193415638,2436.3625557206537
2019-08-19,1880.1439790575917,,2482.834170854271,,1642.1538461538462,2329.5033783783783,2291.005213764338,,1360.551724137931,2129.127358490566,2497.5692307692307,,2173.2744360902257,2455.768
2019-08-20,1799.1929203539823,,2588.4484052532835,,,2356.942857142857,2284.4887401095557,,1237.2790697674418,2149.356796116505,2414.5728155339807,,2211.0959752321983,2404.035433070866
2019-08-21,1806.6,2251.1666666666665,2601.8653846153848,,,2316.913738019169,2322.3665594855306,,1537.1234567901236,2150.192419825073,2548.0263157894738,,2143.8651685393256,2473.029197080292
2019-08-22,1885.3933054393306,,2604.364779874214,,,2361.6283185840707,2291.935822637106,,1422.551282051282,2082.9461538461537,2738.969696969697,,2197.560260586319,2477.5831622176593
2019-08-23,1783.6310272536687,2385.5,2542.2349137931033,,,2367.089430894309,2283.7016029593096,,1578.2105263157894,2167.9846153846156,2413.8070175438597,,2093.8262108262106,2435.494720965309
2019-08-24,1839.1842105263158,,2484.8670076726344,,,2346.7650273224044,2285.0174029451136,,1596.6274509803923,2234.4488636363635,2666.6911764705883,,2116.418947368421,2464.2580645161293
2019-08-25,1813.4184261036469,,2516.349333333333,,,2327.5441696113076,2284.2262996941895,,1463.076923076923,2134.180138568129,2442.9208633093526,,2146.1625615763546,2422.1922455573504
2019-08-26,1805.6491228070176,,2542.6056910569105,,,2399.0165289256197,2282.8048268625394,,1154.0263157894738,2203.86328125,2368.342105263158,,2144.078212290503,2444.0673575129535
2019-08-27,1788.923828125,,2573.9263456090653,,1829.4642857142858,2391.0143266475643,2297.601127554616,,1534.9848484848485,2158.514677103718,2474.8255813953488,,2188.276422764228,2443.698778833107
2019-08-28,1857.844282238443,,2530.0361842105262,,,2306.3625,2281.488326848249,,1380.5346534653465,2091.2903225806454,2494.4418604651164,,2196.8423772609817,2420.077259475219
