,launch_angle,launch_speed,estimated_ba_using_speedangle,events
436,69,80.0,0.0,field_out
516,29,97.1,0.347,home_run
704,-10,105.3,0.347,grounded_into_double_play
782,53,72.6,0.1,field_out
596,26,86.8,0.093,field_out
826,33,79.1,0.067,field_out
1073,40,65.0,0.533,field_out
907,-12,101.0,0.273,grounded_into_double_play
1017,10,97.9,0.827,single
1195,14,103.3,0.673,single
497,42,80.1,0.053,field_out
589,-52,65.5,0.133,field_out
618,5,80.7,0.273,single
1015,61,76.9,0.027,field_out
1128,28,92.5,0.12,sac_fly
136,11,104.2,0.887,single
151,-2,80.5,0.173,field_error
866,-10,95.9,0.213,field_out
1096,25,59.7,0.473,field_out
255,-50,73.2,0.153,field_out
258,-1,78.3,0.2,field_out
294,16,100.1,0.54,field_out
355,29,106.5,0.973,home_run
1087,48,81.6,0.007,field_out
639,31,50.0,0.22,field_out
775,-28,101.6,0.167,single
901,13,84.7,0.853,double
1119,9,86.8,0.553,single
411,-21,82.9,0.073,field_out
438,-11,79.3,0.08,field_out
564,3,102.9,0.56,field_out
32,-25,88.6,0.053,field_out
706,11,76.4,0.307,force_out
1022,6,96.5,0.587,single
1089,20,104.6,0.827,double
1044,17,87.9,0.833,single
260,20,91.6,0.333,field_out
295,26,101.8,0.867,home_run
40,42,101.5,0.113,field_out
77,-2,109.9,0.493,single
307,-25,69.1,0.067,field_out
314,22,108.3,0.973,home_run
138,6,81.0,0.347,field_out
188,23,79.0,0.707,double
439,-11,35.7,0.3,field_out
476,22,105.4,0.92,double
569,31,104.2,0.88,home_run
711,-32,86.8,0.087,field_out
791,17,90.5,0.727,single
805,-4,87.0,0.18,field_out
229,-9,91.3,0.207,field_out
868,-10,84.7,0.127,field_out
417,54,65.5,0.073,field_out
485,-36,61.8,0.073,field_error
903,29,103.6,0.947,home_run
1223,-14,103.7,0.347,field_out
365,22,90.1,0.16,field_out
501,2,90.1,0.413,double
543,-15,70.1,0.08,field_out
286,25,89.5,0.147,field_out
353,20,82.4,0.787,single
396,23,104.4,0.867,double
574,7,110.0,0.713,double
573,27,93.0,0.193,field_out
554,24,78.9,0.507,single
402,55,87.7,0.013,field_out
580,35,92.2,0.06,field_out
11,10,84.3,0.42,field_out
12,3,100.3,0.567,single
15,69,80.0,0.0,field_out
31,58,77.6,0.053,field_out
39,15,88.0,0.973,single
