,name_last,name_first,key_mlbam,spin_low_conf,spin_high_conf,spin_difference_conf,%k conf_low,%k conf_high,%k difference_conf,%K mean,spin rate mean
146,crowe,wil,640444,1398.7389,1520.9082,122.169395,0.003425568,0.0046566734,0.0012311055,0.004041121,1459.8235
147,cueto,johnny,456501,2508.2092,2550.107,41.89763,0.013859279,0.01658513,0.0027258515,0.015222205,2529.158
148,culberson,charlie,518586,2338.018,2380.1838,42.165707,0.05259039,0.09040352,0.037813127,0.071496956,2359.1008
149,curtiss,john,595928,2500.976,2542.859,41.88275,0.014570485,0.017344993,0.0027745073,0.015957737,2521.9175
150,darvish,yu,506433,1623.9944,1714.4043,90.40991,0.012363812,0.015567446,0.0032036342,0.013965629,1669.1993
151,davies,zach,605200,2132.3647,2170.936,38.57134,0.019014644,0.02465727,0.005642626,0.021835957,2151.6504
152,davis,austin,656354,2118.1726,2156.67,38.497223,0.036187343,0.07307729,0.036889944,0.054632317,2137.4211
153,davis,wade,451584,2070.1958,2136.3613,66.1655,0.014080634,0.016883038,0.0028024046,0.015481836,2103.2786
154,de geus,brett,676969,2217.452,2271.743,54.29094,0.016059516,0.019679224,0.0036197081,0.01786937,2244.5974
155,de los santos,enyel,660853,2428.8816,2458.185,29.303604,0.016392944,0.019068558,0.002675613,0.017730752,2443.5334
156,del pozo,miguel,600887,2211.9705,2260.9514,48.980938,0.10460252,0.1676404,0.06303788,0.13612147,2236.461
157,desclafani,anthony,543101,2041.5359,2062.5496,21.013699,0.014466528,0.018075077,0.0036085488,0.016270803,2052.0427
158,detmers,reid,672282,2140.135,2163.7278,23.59285,0.0605409,0.10418946,0.043648567,0.082365185,2151.9314
159,detwiler,ross,446321,2129.5627,2210.3367,80.773926,0.011815885,0.014192208,0.0023763229,0.013004046,2169.9497
160,diaz,edwin,621242,2085.536,2118.1885,32.652542,0.013354877,0.015713228,0.0023583516,0.014534052,2101.8623
161,diaz,jhonathan,646242,2377.8467,2417.7969,39.95034,0.012171643,0.014571054,0.0023994106,0.013371348,2397.8218
162,diaz,miguel,622766,2352.5383,2392.1765,39.638115,0.061072554,0.099260986,0.03818843,0.08016677,2372.3574
163,diaz,yennsy,660546,1248.4908,1373.0647,124.57388,0.0049074623,0.0067135096,0.0018060472,0.0058104857,1310.7778
164,dickson,brandon,505447,2184.8025,2241.0098,56.207245,0.048376318,0.0951849,0.04680858,0.07178061,2212.9062
165,diekman,jake,518617,2291.444,2337.0906,45.646664,0.015027568,0.01867792,0.0036503526,0.016852744,2314.2673
166,difo,wilmer,594694,2226.8623,2257.8386,30.976477,0.020519806,0.054248046,0.03372824,0.037383925,2242.3503
167,diplan,marcos,650959,931.1925,1083.4075,152.21497,0.012324238,0.014534565,0.0022103263,0.013429401,1007.3
168,dobnak,randy,677976,2227.3938,2250.7002,23.306364,0.07051853,0.113075994,0.042557463,0.09179726,2239.047
169,dohy,kyle,675971,2286.7075,2331.5815,44.873985,0.08525438,0.13433668,0.049082298,0.109795526,2309.1445
170,dolis,rafael,503569,2322.6028,2338.0142,15.411501,0.01385657,0.01651006,0.0026534905,0.015183316,2330.3086
171,doolittle,sean,448281,1872.2087,1892.0605,19.851753,0.013278422,0.015677247,0.0023988248,0.014477834,1882.1346
172,doval,camilo,666808,2365.5344,2389.2417,23.70714,0.0128623955,0.015669474,0.0028070789,0.014265935,2377.388
173,drury,brandon,592273,2293.2444,2362.4092,69.16478,0.028639808,0.04279119,0.014151381,0.035715498,2327.8267
174,duffey,tyler,608648,2326.304,2350.9333,24.629366,0.016625227,0.020870931,0.0042457036,0.018748078,2338.6187
175,dugger,robert,667498,2057.523,2093.6755,36.152733,0.01641145,0.021125646,0.004714196,0.018768547,2075.5994
176,dunning,dane,641540,2196.679,2244.3674,47.688484,0.014592873,0.017378649,0.002785777,0.01598576,2220.5232
177,eaton,adam,594809,2237.3386,2300.9292,63.590477,0.014325027,0.017180087,0.00285506,0.015752558,2269.134
178,effross,scott,664123,2575.5618,2640.1042,64.542336,0.034905262,0.07256604,0.03766078,0.05373565,2607.833
179,eickhoff,jerad,595191,1997.1635,2045.6255,48.462013,0.06574,0.10853048,0.042790484,0.08713523,2021.3944
180,ellis,chris,595939,2128.8042,2172.6665,43.862408,0.014450148,0.017069,0.002618854,0.015759574,2150.7354
181,enns,dietrich,608650,1948.3713,2035.9691,87.597786,0.010319075,0.012562893,0.0022438187,0.011440984,1992.1702
182,eovaldi,nathan,543135,2310.3071,2359.6929,49.385883,0.016359365,0.018511785,0.002152421,0.017435575,2335.0
183,eshelman,thomas,664045,2212.9153,2269.4182,56.503,0.010921061,0.01326425,0.002343189,0.0120926555,2241.1667
184,espinal,raynel,642659,2271.3176,2346.3018,74.9841,0.06493802,0.110636175,0.04569815,0.0877871,2308.8098
185,espino,paolo,502179,2301.951,2319.1611,17.210337,0.015432857,0.018445784,0.003012926,0.01693932,2310.556
186,estevez,carlos,608032,1906.8743,1969.8616,62.987373,0.014930403,0.018145861,0.0032154592,0.016538132,1938.3679
187,evans,demarcus,663770,2049.0132,2114.2412,65.2281,0.072680004,0.11690329,0.044223282,0.09479165,2081.6272
188,fairbanks,pete,664126,1606.7728,1682.8823,76.109535,0.008896424,0.010996428,0.002100004,0.009946426,1644.8276
189,falter,bailey,663559,2520.6465,2579.808,59.161686,0.014723741,0.017145734,0.0024219917,0.015934737,2550.2273
190,familia,jeurys,544727,1847.2166,1932.445,85.22843,0.056122012,0.10866478,0.05254277,0.08239339,1889.8308
191,faria,jake,607188,2089.7295,2161.4038,71.67444,0.01283612,0.016112547,0.0032764268,0.014474333,2125.5667
192,farmer,buck,571656,1980.8154,2009.5549,28.739502,0.010362919,0.012266746,0.0019038264,0.011314833,1995.1852
193,farrell,luke,608652,2115.2068,2156.6204,41.413456,0.056999106,0.09024728,0.033248175,0.073623195,2135.9136
194,fedde,erick,607200,1931.2734,2009.0908,77.8173,0.074585624,0.12211102,0.047525395,0.09834832,1970.1821
195,feliz,michael,593140,2283.7815,2321.111,37.32969,0.086673915,0.14034718,0.053673275,0.11351055,2302.4463
196,feliz,neftali,491703,2251.1838,2301.4963,50.31255,0.07159414,0.11010441,0.038510267,0.09084927,2276.34
197,feltner,ryan,663372,2644.107,2689.0605,44.953575,0.01437083,0.016880475,0.0025096454,0.015625652,2666.5837
198,fernandez,julian,642759,1643.0082,1658.1346,15.126393,0.0050181295,0.006313499,0.0012953692,0.005665814,1650.5714
199,fernandez,junior,658551,2227.5964,2250.1765,22.58024,0.014631992,0.017465783,0.002833791,0.016048888,2238.8865
200,feyereisen,j. p.,656420,2182.538,2239.3994,56.861248,0.016008,0.018468643,0.0024606427,0.017238323,2210.9688
201,finnegan,kyle,640448,2277.1216,2312.6353,35.513783,0.016405445,0.019949796,0.0035443518,0.01817762,2294.8784
202,flaherty,jack,656427,2206.2332,2232.3386,26.10546,0.07153987,0.11681356,0.04527369,0.09417672,2219.286
203,fleming,josh,676596,1965.9463,2021.2559,55.309666,0.05284835,0.08859086,0.035742506,0.07071961,1993.6011
204,flexen,chris,623167,2006.4058,2065.9773,59.571465,0.033603176,0.04671537,0.013112196,0.040159274,2036.1915
205,floro,dylan,571670,1730.7349,1856.4879,125.75309,0.014488956,0.017295653,0.0028066963,0.015892304,1793.6115
206,foley,jason,671345,2335.4045,2366.7344,31.329826,0.04011371,0.06535356,0.02523985,0.052733634,2351.0696
207,foltynewicz,mike,592314,1993.3927,2016.5652,23.172525,0.056538183,0.07684558,0.02030739,0.06669188,2004.9789
208,foster,matt,641582,2045.4056,2140.967,95.56138,0.013212198,0.015783729,0.002571531,0.014497964,2093.1863
209,freeland,kyle,607536,1877.2881,1932.3119,55.02383,0.6606087,0.80605793,0.14544922,0.73333335,1904.8
210,frias,luis,666818,2416.034,2456.2107,40.176853,0.06349988,0.10256257,0.039062686,0.08303122,2436.1223
211,fried,max,608331,2282.635,2345.6423,63.007217,0.13435085,0.18668395,0.0523331,0.16051741,2314.1387
212,fry,jace,605240,2068.3074,2087.917,19.609608,0.018505253,0.022402573,0.0038973202,0.020453913,2078.1123
213,fry,paul,643316,1966.1979,2033.361,67.163086,0.07768817,0.12383931,0.04615114,0.100763746,1999.7794
214,fulmer,michael,605242,2332.975,2364.285,31.309845,0.011777891,0.014189004,0.002411113,0.012983448,2348.63
215,funkhouser,kyle,608335,2406.162,2430.7456,24.583717,0.012266977,0.0148469005,0.002579924,0.013556939,2418.4539
216,gallegos,giovanny,606149,2102.6484,2138.2207,35.572258,0.053182982,0.09066035,0.03747737,0.07192167,2120.4346
217,gallen,zac,668678,2199.9138,2222.2788,22.365076,0.1280731,0.17643407,0.048360966,0.15225358,2211.0964
218,gant,john,607231,1980.2671,2015.825,35.557842,0.01592211,0.01916172,0.0032396098,0.017541915,1998.046
219,garcia,bryan,650530,2244.926,2273.1035,28.177399,0.013983384,0.016661199,0.0026778153,0.015322292,2259.0146
220,garcia,edgar,658305,2522.703,2551.2205,28.517632,0.054573238,0.07874237,0.024169128,0.066657804,2536.9617
221,garcia,jarlin,606424,2069.9326,2149.2065,79.273926,0.051888496,0.077466905,0.025578413,0.0646777,2109.5696
222,garcia,luis,677651,1831.4036,1944.5964,113.192795,0.015920624,0.019763805,0.0038431808,0.017842215,1888.0
223,garcia,luis,472610,2212.406,2233.7988,21.392776,0.015125958,0.018036483,0.0029105241,0.01658122,2223.1023
224,garcia,yimi,554340,2152.7073,2187.536,34.828667,0.015517429,0.01920307,0.0036856406,0.01736025,2170.1216
225,garrett,amir,607237,2435.6707,2477.5886,41.917873,0.012899694,0.015418818,0.002519125,0.014159256,2456.6296
226,garrett,braxton,666129,2094.5674,2127.017,32.44973,0.08066752,0.12329044,0.042622924,0.10197898,2110.7922
227,garza,justin,621057,2129.0454,2144.729,15.683589,0.024542108,0.06682637,0.042284265,0.04568424,2136.8872
